in_school,owns_house,house_beds,house_kitchen,reported_social_status,got_pr_transf,part_in_training,life_satisfaction,offdays_ill,healthinsurance,speak_other_languaje,lives_w_mother,lives_w_father,ses_15,read_overall,write_overall,numeracy_overall,computer_use_overall,think_learn_work,autonomy_at_work,repetitiveness_at_work,physical_demand_work,extraversion_av,conscientiousness_avg,openness_av,stability_av,agreeableness_av,grit_av,decision_av,hostile_av,risk,has_children,hh_size,gender,age,has_spouse,chronic_disease,shocks_bef_15,BMI,mother_tongue,labor_market_status,job_stable,hour_earnings,total_hr_worked_week,highest_ISCED_PIAAC,years_educ,wealth_index,overqualified,country,dropout,got_pu_transf,supervise,in_school_1.0,owns_house_2,owns_house_3,house_beds_2,house_beds_3,house_kitchen_1,reported_social_status_1,reported_social_status_2,reported_social_status_3,reported_social_status_4,reported_social_status_5,reported_social_status_6,got_pr_transf_1,got_pu_transf_1,part_in_training_1.0,offdays_ill_1.0,healthinsurance_1.0,speak_other_languaje_1.0,lives_w_mother_1.0,lives_w_father_1.0,read_overall_1.0,read_overall_2.0,read_overall_3.0,write_overall_1.0,write_overall_2.0,write_overall_3.0,numeracy_overall_1.0,numeracy_overall_2.0,numeracy_overall_3.0,supervise_1.0,computer_use_overall_1.0,computer_use_overall_2.0,computer_use_overall_3.0,think_learn_work_1.0,think_learn_work_2.0,think_learn_work_3.0,autonomy_at_work_1.0,autonomy_at_work_2.0,autonomy_at_work_3.0,repetitiveness_at_work_1.0,repetitiveness_at_work_2.0,repetitiveness_at_work_3.0,physical_demand_work_1.0,physical_demand_work_2.0,physical_demand_work_3.0,has_children_1.0,hh_size_2,gender_1,has_spouse_1,chronic_disease_1.0,shocks_bef_15_1.0,mother_tongue_1.0,labor_market_status_1.0,job_stable_1.0,highest_ISCED_PIAAC_1,highest_ISCED_PIAAC_2,highest_ISCED_PIAAC_3,highest_ISCED_PIAAC_5,highest_ISCED_PIAAC_6,highest_ISCED_PIAAC_7,highest_ISCED_PIAAC_8,dropout_1.0
0.0,2,1,1,2,0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.33333325386047,3.33333325386047,3.0,3.0,3.0,2.66666674613953,3.5,2.5,2.0,0.0,1,1,57,0,0.0,0.0,23.8999996185303,1.0,1.0,1.0,1875.0,56,1,5.0,-0.286157578229904,1.0,Colombia,0.0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0.0,1,2,1,2,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.33333337306976,3.0,1.66666662693024,2.0,4.0,2.66666674613953,2.25,1.5,1.0,1.0,1,1,63,1,0.0,0.0,24.2000007629395,1.0,0.0,0.0,0.0,0,0,4.0,0.428314447402954,0.0,Colombia,1.0,0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,2,1,1,2,1,0.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,4.0,3.66666674613953,3.66666674613953,3.0,3.33333325386047,2.33333325386047,2.75,2.0,1.0,1.0,1,0,22,1,0.0,0.0,20.7999992370605,1.0,1.0,1.0,2750.0,60,3,11.0,-0.0683585777878761,0.0,Colombia,0.0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
0.0,2,1,1,2,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,3.33333325386047,3.0,3.0,2.33333325386047,3.66666674613953,2.66666674613953,2.0,2.0,1.0,1.0,1,0,34,1,0.0,0.0,26.5,1.0,1.0,0.0,2880.18432617188,48,3,11.0,-1.07974517345428,1.0,Colombia,0.0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
1.0,1,2,1,2,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.33333325386047,3.33333325386047,3.33333325386047,1.66666662693024,2.33333325386047,3.0,3.5,1.5,1.0,1.0,2,0,28,1,0.0,1.0,27.3999996185303,1.0,1.0,1.0,3840.24584960938,48,6,11.5,-0.224101394414902,2.0,Colombia,0.0,1,0.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
0.0,2,1,1,2,0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,2.66666674613953,3.33333325386047,3.0,3.66666674613953,2.66666674613953,3.0,2.75,2.0,1.0,1.0,2,1,23,0,0.0,1.0,26.8999996185303,1.0,1.0,0.0,2737.5,8,3,11.0,-0.405990391969681,1.0,Colombia,0.0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
0.0,2,1,1,2,0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33333325386047,2.66666674613953,3.0,1.66666662693024,3.66666674613953,2.33333325386047,1.75,2.0,1.0,1.0,1,1,27,1,0.0,1.0,26.8999996185303,1.0,0.0,0.0,0.0,0,1,8.0,-2.17247676849365,0.0,Colombia,1.0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
1.0,2,2,1,2,0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.33333325386047,2.66666674613953,3.0,3.33333325386047,3.0,2.5,2.0,4.0,0.0,2,1,17,0,0.0,1.0,25.0,1.0,0.0,0.0,0.0,0,2,9.0,-0.36958646774292,0.0,Colombia,0.0,0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.0,2,2,1,2,0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,3.33333325386047,2.33333325386047,3.66666674613953,3.33333325386047,2.5,1.5,1.0,1.0,2,0,56,1,0.0,0.0,28.3999996185303,1.0,1.0,0.0,985.2216796875,70,0,4.0,0.117386221885681,-3.0,Colombia,1.0,1,1.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1.0,2,1,0,2,0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,2.66666674613953,3.66666674613953,1.66666662693024,2.66666674613953,1.5,2.0,4.0,0.0,1,0,24,0,0.0,1.0,28.3999996185303,1.0,1.0,1.0,2764.97705078125,50,5,13.0,-1.42869675159454,1.0,Colombia,0.0,0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
